resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
"25448,1076,847,131,63,6,3,""3"",3,15,58,""+25.593"",5292141,53,4,""1:21.495"",""233.152"",1"
"25449,1076,1,131,44,5,4,""4"",4,12,58,""+28.543"",5295091,51,7,""1:21.886"",""232.039"",1"
"25450,1076,846,1,4,4,5,""5"",5,10,58,""+53.303"",5319851,55,8,""1:22.248"",""231.018"",1"
"25451,1076,817,1,3,7,6,""6"",6,8,58,""+53.737"",5320285,54,9,""1:22.451"",""230.449"",1"
"25452,1076,839,214,31,8,7,""7"",7,6,58,""+1:01.683"",5328231,58,10,""1:22.469"",""230.399"",1"
"25453,1076,822,51,77,12,8,""8"",8,4,58,""+1:08.439"",5334987,54,5,""1:21.651"",""232.707"",1"
"25454,1076,842,213,10,11,9,""9"",9,2,58,""+1:16.221"",5342769,52,13,""1:22.731"",""229.669"",1"
"25455,1076,848,3,23,20,10,""10"",10,1,58,""+1:19.382"",5345930,54,12,""1:22.589"",""230.064"",1"
"25456,1076,855,51,24,14,11,""11"",11,0,58,""+1:21.695"",5348243,55,11,""1:22.541"",""230.198"",1"
"25457,1076,840,117,18,19,12,""12"",12,0,58,""+1:28.598"",5355146,48,17,""1:23.592"",""227.304"",1"
"25458,1076,854,210,47,15,13,""13"",13,0,57,\N,\N,55,14,""1:23.006"",""228.908"",11"
"25459,1076,825,210,20,16,14,""14"",14,0,57,\N,\N,44,15,""1:23.071"",""228.729"",11"
"25460,1076,852,213,22,13,15,""15"",15,0,57,\N,\N,56,16,""1:23.342"",""227.985"",11"
"25461,1076,849,3,6,18,16,""16"",16,0,57,\N,\N,49,18,""1:23.882"",""226.518"",11"
"25462,1076,4,214,14,10,17,""17"",17,0,57,\N,\N,57,2,""1:20.846"",""235.024"",11"
"25463,1076,830,9,1,2,\N,""R"",18,0,38,\N,\N,37,6,""1:21.677"",""232.633"",95"
"25464,1076,20,117,5,17,\N,""R"",19,0,22,\N,\N,17,19,""1:25.189"",""223.042"",3"
"25465,1076,832,6,55,9,\N,""R"",20,0,1,\N,\N,\N,0,\N,\N,20"
"25466,1077,830,9,1,1,1,""1"",1,26,63,""1:32:07.986"",5527986,55,1,""1:18.446"",""225.281"",1"
"25467,1077,815,9,11,3,2,""2"",2,18,63,""+16.527"",5544513,52,3,""1:18.949"",""223.845"",1"
"25468,1077,846,1,4,5,3,""3"",3,15,63,""+34.834"",5562820,61,7,""1:20.903"",""218.439"",1"
"25469,1077,847,131,63,11,4,""4"",4,12,63,""+42.506"",5570492,57,8,""1:20.962"",""218.280"",1"
"25470,1077,822,51,77,7,5,""5"",5,10,63,""+43.181"",5571167,43,6,""1:20.758"",""218.831"",1"
"25471,1077,844,6,16,2,6,""6"",6,8,63,""+56.072"",5584058,63,2,""1:18.574"",""224.914"",1"
"25472,1077,852,213,22,12,7,""7"",7,6,63,""+1:01.110"",5589096,61,5,""1:20.544"",""219.412"",1"
"25473,1077,20,117,5,13,8,""8"",8,4,63,""+1:10.892"",5598878,47,9,""1:21.211"",""217.610"",1"
"25474,1077,825,210,20,8,9,""9"",9,2,63,""+1:15.260"",5603246,61,10,""1:21.238"",""217.538"",1"
"25475,1077,840,117,18,15,10,""10"",10,1,62,\N,\N,46,16,""1:21.750"",""216.176"",11"
"25476,1077,848,3,23,18,11,""11"",11,0,62,\N,\N,61,17,""1:21.757"",""216.157"",11"
"25477,1077,842,213,10,17,12,""12"",12,0,62,\N,\N,34,15,""1:21.713"",""216.274"",11"
"25478,1077,1,131,44,14,13,""13"",13,0,62,\N,\N,50,13,""1:21.419"",""217.054"",11"
"25479,1077,839,214,31,16,14,""14"",14,0,62,\N,\N,37,18,""1:21.887"",""215.814"",11"
"25480,1077,855,51,24,0,15,""15"",15,0,62,\N,\N,61,11,""1:21.286"",""217.410"",11"
"25481,1077,849,3,6,19,16,""16"",16,0,62,\N,\N,62,12,""1:21.338"",""217.271"",11"
"25482,1077,854,210,47,10,17,""17"",17,0,62,\N,\N,55,4,""1:18.999"",""223.704"",11"
"25483,1077,817,1,3,6,18,""18"",18,0,62,\N,\N,61,14,""1:21.577"",""216.634"",11"
"25484,1077,4,214,14,9,\N,""R"",19,0,6,\N,\N,5,19,""1:39.685"",""177.282"",130"
"25485,1077,832,6,55,4,\N,""R"",20,0,0,\N,\N,\N,0,\N,\N,4"
"25486,1078,830,9,1,3,1,""1"",1,26,57,""1:34:24.258"",5664258,54,1,""1:31.361"",""213.255"",1"
"25487,1078,844,6,16,1,2,""2"",2,18,57,""+3.786"",5668044,53,2,""1:31.488"",""212.959"",1"
"25488,1078,832,6,55,2,3,""3"",3,15,57,""+8.229"",5672487,56,3,""1:31.790"",""212.258"",1"
"25489,1078,815,9,11,4,4,""4"",4,12,57,""+10.638"",5674896,54,4,""1:31.819"",""212.191"",1"
"25490,1078,847,131,63,12,5,""5"",5,10,57,""+18.582"",5682840,56,5,""1:32.195"",""211.325"",1"
"25491,1078,1,131,44,6,6,""6"",6,8,57,""+21.368"",5685626,55,7,""1:32.941"",""209.629"",1"
"25492,1078,822,51,77,5,7,""7"",7,6,57,""+25.073"",5689331,56,10,""1:33.184"",""209.083"",1"
"25493,1078,839,214,31,20,8,""8"",8,4,57,""+28.386"",5692644,56,9,""1:33.163"",""209.130"",1"
"25494,1078,848,3,23,18,9,""9"",9,2,57,""+32.365"",5696623,57,15,""1:33.447"",""208.494"",1"
"25495,1078,840,117,18,0,10,""10"",10,1,57,""+37.026"",5701284,52,12,""1:33.312"",""208.796"",1"
"25496,1078,4,214,14,11,11,""11"",11,0,57,""+37.128"",5701386,53,13,""1:33.331"",""208.753"",1"
"25497,1078,852,213,22,9,12,""12"",12,0,57,""+40.146"",5704404,55,8,""1:33.035"",""209.417"",1"
"25498,1078,817,1,3,14,13,""13"",13,0,57,""+40.902"",5705160,56,11,""1:33.265"",""208.901"",1"
"25499,1078,849,3,6,19,14,""14"",14,0,57,""+49.936"",5714194,53,18,""1:34.169"",""206.896"",1"
"25500,1078,854,210,47,15,15,""15"",15,0,57,""+1:13.305"",5737563,57,6,""1:32.528"",""210.565"",1"
"25501,1078,825,210,20,16,16,""16"",16,0,56,\N,\N,52,17,""1:33.511"",""208.351"",33"
"25502,1078,20,117,5,0,17,""17"",17,0,54,\N,\N,50,16,""1:33.479"",""208.423"",4"
"25503,1078,842,213,10,7,\N,""R"",18,0,45,\N,\N,38,19,""1:34.487"",""206.199"",22"
"25504,1078,846,1,4,8,\N,""R"",19,0,39,\N,\N,37,14,""1:33.411"",""208.575"",4"
"25505,1078,855,51,24,17,\N,""R"",20,0,6,\N,\N,4,20,""1:35.731"",""203.520"",47"
"25506,1079,830,9,1,2,1,""1"",1,25,66,""1:37:20.475"",5840475,46,4,""1:25.456"",""196.943"",1"
"25507,1079,815,9,11,5,2,""2"",2,19,66,""+13.072"",5853547,55,1,""1:24.108"",""200.099"",1"
"25508,1079,847,131,63,4,3,""3"",3,15,66,""+32.927"",5873402,53,3,""1:24.636"",""198.851"",1"
"25509,1079,832,6,55,3,4,""4"",4,12,66,""+45.208"",5885683,49,7,""1:25.985"",""195.731"",1"
"25510,1079,1,131,44,6,5,""5"",5,10,66,""+54.534"",5895009,51,2,""1:24.253"",""199.755"",1"
"25511,1079,822,51,77,7,6,""6"",6,8,66,""+59.976"",5900451,36,8,""1:26.395"",""194.802"",1"
"25512,1079,839,214,31,12,7,""7"",7,6,66,""+1:15.397"",5915872,54,6,""1:25.935"",""195.845"",1"
"25513,1079,846,1,4,11,8,""8"",8,4,66,""+1:23.235"",5923710,53,5,""1:25.619"",""196.568"",1"
"25514,1079,4,214,14,20,9,""9"",9,2,65,\N,\N,56,9,""1:26.599"",""194.344"",11"
"25515,1079,852,213,22,13,10,""10"",10,1,65,\N,\N,59,10,""1:26.828"",""193.831"",11"
"25516,1079,20,117,5,16,11,""11"",11,0,65,\N,\N,59,18,""1:27.629"",""192.059"",11"
"25517,1079,817,1,3,9,12,""12"",12,0,65,\N,\N,54,15,""1:27.285"",""192.816"",11"
"25518,1079,842,213,10,14,13,""13"",13,0,65,\N,\N,51,12,""1:26.987"",""193.477"",11"
"25519,1079,854,210,47,10,14,""14"",14,0,65,\N,\N,32,16,""1:27.447"",""192.459"",11"
"25520,1079,840,117,18,17,15,""15"",15,0,65,\N,\N,54,11,""1:26.876"",""193.724"",11"
"25521,1079,849,3,6,19,16,""16"",16,0,64,\N,\N,52,14,""1:27.246"",""192.902"",12"
"25522,1079,825,210,20,8,17,""17"",17,0,64,\N,\N,3,17,""1:27.537"",""192.261"",12"
"25523,1079,848,3,23,18,18,""18"",18,0,64,\N,\N,56,19,""1:28.281"",""190.641"",12"
"25524,1079,855,51,24,15,\N,""R"",19,0,28,\N,\N,12,20,""1:28.415"",""190.352"",75"
"25525,1079,844,6,16,1,\N,""R"",20,0,27,\N,\N,25,13,""1:27.030"",""193.381"",101"
"25526,1080,815,9,11,3,1,""1"",1,25,64,""1:56:30.265"",6990265,46,4,""1:16.028"",""158.010"",1"
"25527,1080,832,6,55,2,2,""2"",2,18,64,""+1.154"",6991419,47,7,""1:16.421"",""157.197"",1"
"25528,1080,830,9,1,4,3,""3"",3,15,64,""+1.491"",6991756,47,5,""1:16.052"",""157.960"",1"
"25529,1080,844,6,16,1,4,""4"",4,12,64,""+2.922"",6993187,46,6,""1:16.249"",""157.552"",1"
"25530,1080,847,131,63,6,5,""5"",5,10,64,""+11.968"",7002233,42,8,""1:16.830"",""156.360"",1"
"25531,1080,846,1,4,5,6,""6"",6,9,64,""+12.231"",7002496,55,1,""1:14.693"",""160.834"",1"
"25532,1080,4,214,14,7,7,""7"",7,6,64,""+46.358"",7036623,50,3,""1:15.882"",""158.314"",1"
"25533,1080,1,131,44,8,8,""8"",8,4,64,""+50.388"",7040653,51,9,""1:17.203"",""155.605"",1"
"25534,1080,822,51,77,12,9,""9"",9,2,64,""+52.525"",7042790,57,14,""1:17.600"",""154.809"",1"
"25535,1080,20,117,5,9,10,""10"",10,1,64,""+53.536"",7043801,54,12,""1:17.558"",""154.893"",1"
"25536,1080,842,213,10,17,11,""11"",11,0,64,""+54.289"",7044554,61,10,""1:17.344"",""155.321"",1"
"25537,1080,839,214,31,10,12,""12"",12,0,64,""+55.644"",7045909,50,13,""1:17.571"",""154.867"",1"
"25538,1080,817,1,3,14,13,""13"",13,0,64,""+57.635"",7047900,59,11,""1:17.532"",""154.945"",1"
"25539,1080,840,117,18,18,14,""14"",14,0,64,""+1:00.802"",7051067,56,15,""1:17.672"",""154.665"",1"
"25540,1080,849,3,6,19,15,""15"",15,0,63,\N,\N,43,18,""1:18.579"",""152.880"",11"
"25541,1080,855,51,24,20,16,""16"",16,0,63,\N,\N,52,17,""1:18.200"",""153.621"",11"
"25542,1080,852,213,22,11,17,""17"",17,0,63,\N,\N,61,2,""1:15.334"",""159.465"",11"
"25543,1080,848,3,23,16,\N,""R"",18,0,48,\N,\N,40,16,""1:18.023"",""153.969"",26"
"25544,1080,854,210,47,15,\N,""R"",19,0,24,\N,\N,24,19,""1:24.778"",""141.701"",3"
"25545,1080,825,210,20,13,\N,""R"",20,0,19,\N,\N,18,20,""1:33.754"",""128.135"",34"
"25546,1081,830,9,1,3,1,""1"",1,25,51,""1:34:05.941"",5645941,50,2,""1:46.050"",""203.779"",1"
"25547,1081,815,9,11,2,2,""2"",2,19,51,""+20.823"",5666764,36,1,""1:46.046"",""203.787"",1"
"25548,1081,847,131,63,5,3,""3"",3,15,51,""+45.995"",5691936,42,4,""1:47.177"",""201.636"",1"
"25549,1081,1,131,44,7,4,""4"",4,12,51,""+1:11.679"",5717620,39,3,""1:47.044"",""201.887"",1"
"25550,1081,842,213,10,6,5,""5"",5,10,51,""+1:17.299"",5723240,39,16,""1:48.519"",""199.143"",1"
"25551,1081,20,117,5,9,6,""6"",6,8,51,""+1:24.099"",5730040,41,12,""1:48.206"",""199.719"",1"
"25552,1081,4,214,14,10,7,""7"",7,6,51,""+1:28.596"",5734537,49,8,""1:47.989"",""200.120"",1"
"25553,1081,817,1,3,12,8,""8"",8,4,51,""+1:32.207"",5738148,44,13,""1:48.276"",""199.589"",1"
"25554,1081,846,1,4,11,9,""9"",9,2,51,""+1:32.556"",5738497,37,9,""1:47.997"",""200.105"",1"
"25555,1081,839,214,31,13,10,""10"",10,1,51,""+1:48.184"",5754125,36,14,""1:48.297"",""199.551"",1"
"25556,1081,822,51,77,15,11,""11"",11,0,50,\N,\N,42,11,""1:48.179"",""199.768"",11"
"25557,1081,848,3,23,17,12,""12"",12,0,50,\N,\N,48,7,""1:47.966"",""200.163"",11"
"25558,1081,852,213,22,8,13,""13"",13,0,50,\N,\N,42,5,""1:47.523"",""200.987"",11"
"25559,1081,854,210,47,20,14,""14"",14,0,50,\N,\N,40,15,""1:48.410"",""199.343"",11"
"25560,1081,849,3,6,18,15,""15"",15,0,50,\N,\N,37,20,""1:49.583"",""197.209"",11"
"25561,1081,840,117,18,19,16,""16"",16,0,46,\N,\N,38,10,""1:48.038"",""200.029"",76"
"25562,1081,825,210,20,16,\N,""R"",17,0,31,\N,\N,12,18,""1:48.789"",""198.648"",131"
"25563,1081,855,51,24,14,\N,""R"",18,0,23,\N,\N,12,17,""1:48.723"",""198.769"",9"
"25564,1081,844,6,16,1,\N,""R"",19,0,21,\N,\N,13,6,""1:47.531"",""200.972"",131"
"25565,1081,832,6,55,4,\N,""R"",20,0,8,\N,\N,3,19,""1:48.978"",""198.304"",9"
"25566,1082,830,9,1,1,1,""1"",1,25,70,""1:36:21.757"",5781757,64,2,""1:15.839"",""207.012"",1"
"25567,1082,832,6,55,3,2,""2"",2,19,70,""+0.993"",5782750,63,1,""1:15.749"",""207.258"",1"
"25568,1082,1,131,44,4,3,""3"",3,15,70,""+7.006"",5788763,69,4,""1:16.167"",""206.120"",1"
"25569,1082,847,131,63,8,4,""4"",4,12,70,""+12.313"",5794070,63,5,""1:16.418"",""205.443"",1"
"25570,1082,844,6,16,19,5,""5"",5,10,70,""+15.168"",5796925,62,3,""1:15.901"",""206.843"",1"
"25571,1082,839,214,31,7,6,""6"",6,8,70,""+23.890"",5805647,62,9,""1:17.110"",""203.600"",1"
"25572,1082,822,51,77,11,7,""7"",7,6,70,""+25.247"",5807004,64,8,""1:17.010"",""203.864"",1"
"25573,1082,855,51,24,10,8,""8"",8,4,70,""+26.952"",5808709,60,7,""1:16.927"",""204.084"",1"
"25574,1082,4,214,14,2,9,""9"",9,2,70,""+29.945"",5811702,63,6,""1:16.578"",""205.014"",1"
"25575,1082,840,117,18,17,10,""10"",10,1,70,""+38.222"",5819979,64,10,""1:17.421"",""202.782"",1"
"25576,1082,817,1,3,9,11,""11"",11,0,70,""+43.047"",5824804,59,13,""1:17.932"",""201.452"",1"
"25577,1082,20,117,5,16,12,""12"",12,0,70,""+44.245"",5826002,63,15,""1:17.956"",""201.390"",1"
"25578,1082,848,3,23,12,13,""13"",13,0,70,""+44.893"",5826650,59,14,""1:17.951"",""201.403"",1"
"25579,1082,842,213,10,15,14,""14"",14,0,70,""+45.183"",5826940,60,12,""1:17.810"",""201.768"",1"
"25580,1082,846,1,4,14,15,""15"",15,0,70,""+52.145"",5833902,63,11,""1:17.495"",""202.588"",1"
"25581,1082,849,3,6,18,16,""16"",16,0,70,""+59.978"",5841735,61,18,""1:18.540"",""199.893"",1"
"25582,1082,825,210,20,5,17,""17"",17,0,70,""+1:08.180"",5849937,11,16,""1:18.046"",""201.158"",1"
"25583,1082,852,213,22,20,\N,""R"",18,0,47,\N,\N,15,17,""1:18.309"",""200.482"",3"
"25584,1082,854,210,47,6,\N,""R"",19,0,18,\N,\N,13,20,""1:18.967"",""198.812"",5"
"25585,1082,815,9,11,13,\N,""R"",20,0,7,\N,\N,7,19,""1:18.844"",""199.122"",6"
"25586,1083,832,6,55,1,1,""1"",1,25,52,""2:17:50.311"",8270311,44,2,""1:30.813"",""233.530"",1"
"25587,1083,815,9,11,4,2,""2"",2,18,52,""+3.779"",8274090,47,3,""1:30.937"",""233.212"",1"
"25588,1083,1,131,44,5,3,""3"",3,16,52,""+6.225"",8276536,52,1,""1:30.510"",""234.312"",1"
"25589,1083,844,6,16,3,4,""4"",4,12,52,""+8.546"",8278857,52,4,""1:31.282"",""232.330"",1"
"25590,1083,4,214,14,7,5,""5"",5,10,52,""+9.571"",8279882,47,5,""1:31.609"",""231.501"",1"
"25591,1083,846,1,4,6,6,""6"",6,8,52,""+11.943"",8282254,47,6,""1:31.645"",""231.410"",1"
"25592,1083,830,9,1,2,7,""7"",7,6,52,""+18.777"",8289088,44,8,""1:32.354"",""229.633"",1"
"25593,1083,854,210,47,19,8,""8"",8,4,52,""+18.995"",8289306,48,7,""1:32.109"",""230.244"",1"
"25594,1083,20,117,5,18,9,""9"",9,2,52,""+22.356"",8292667,52,10,""1:32.471"",""229.343"",1"
"25595,1083,825,210,20,17,10,""10"",10,1,52,""+24.590"",8294901,52,12,""1:32.661"",""228.872"",1"
"25596,1083,840,117,18,20,11,""11"",11,0,52,""+26.147"",8296458,52,9,""1:32.379"",""229.571"",1"
"25597,1083,849,3,6,10,12,""12"",12,0,52,""+32.511"",8302822,48,13,""1:33.286"",""227.339"",1"
"25598,1083,817,1,3,14,13,""13"",13,0,52,""+32.817"",8303128,34,11,""1:32.644"",""228.914"",1"
"25599,1083,852,213,22,13,14,""14"",14,0,52,""+40.910"",8311221,51,15,""1:33.832"",""226.016"",1"
"25600,1083,839,214,31,15,\N,""R"",15,0,37,\N,\N,37,14,""1:33.537"",""226.729"",48"
"25601,1083,842,213,10,11,\N,""R"",16,0,26,\N,\N,18,16,""1:34.614"",""224.148"",130"
"25602,1083,822,51,77,12,\N,""R"",17,0,20,\N,\N,19,17,""1:35.103"",""222.996"",6"
"25603,1083,847,131,63,8,\N,""R"",18,0,0,\N,\N,\N,0,\N,\N,4"
"25604,1083,855,51,24,9,\N,""R"",19,0,0,\N,\N,\N,0,\N,\N,4"
"25605,1083,848,3,23,16,\N,""R"",20,0,0,\N,\N,\N,0,\N,\N,4"
"25606,1084,844,6,16,2,1,""1"",1,25,71,""1:24:24.312"",5064312,62,2,""1:07.583"",""230.010"",1"
"25607,1084,830,9,1,1,2,""2"",2,19,71,""+1.532"",5065844,62,1,""1:07.275"",""231.063"",1"
"25608,1084,1,131,44,8,3,""3"",3,15,71,""+41.217"",5105529,63,5,""1:09.000"",""225.286"",1"
"25609,1084,847,131,63,4,4,""4"",4,12,71,""+58.972"",5123284,61,6,""1:09.075"",""225.042"",1"
"25610,1084,839,214,31,6,5,""5"",5,10,71,""+1:08.436"",5132748,62,10,""1:09.559"",""223.476"",1"
"25611,1084,854,210,47,9,6,""6"",6,8,70,\N,\N,50,11,""1:09.625"",""223.264"",11"
"25612,1084,846,1,4,10,7,""7"",7,6,70,\N,\N,62,8,""1:09.304"",""224.298"",11"
"25613,1084,825,210,20,7,8,""8"",8,4,70,\N,\N,61,14,""1:09.938"",""222.265"",11"
"25614,1084,817,1,3,11,9,""9"",9,2,70,\N,\N,61,13,""1:09.924"",""222.309"",11"
"25615,1084,4,214,14,19,10,""10"",10,1,70,\N,\N,62,3,""1:08.558"",""226.739"",11"
"25616,1084,822,51,77,0,11,""11"",11,0,70,\N,\N,61,7,""1:09.266"",""224.421"",11"
"25617,1084,848,3,23,15,12,""12"",12,0,70,\N,\N,60,12,""1:09.669"",""223.123"",11"
"25618,1084,840,117,18,12,13,""13"",13,0,70,\N,\N,64,17,""1:10.048"",""221.916"",11"
"25619,1084,855,51,24,13,14,""14"",14,0,70,\N,\N,50,9,""1:09.380"",""224.053"",11"
"25620,1084,842,213,10,14,15,""15"",15,0,70,\N,\N,61,18,""1:10.104"",""221.739"",11"
"25621,1084,852,213,22,16,16,""16"",16,0,70,\N,\N,62,16,""1:10.023"",""221.995"",11"
"25622,1084,20,117,5,18,17,""17"",17,0,70,\N,\N,62,15,""1:10.001"",""222.065"",11"
"25623,1084,832,6,55,3,\N,""R"",18,0,56,\N,\N,55,4,""1:08.649"",""226.438"",131"
"25624,1084,849,3,6,17,\N,""R"",19,0,48,\N,\N,14,19,""1:10.890"",""219.280"",140"
"25625,1084,815,9,11,5,\N,""R"",20,0,24,\N,\N,5,20,""1:11.843"",""216.371"",130"
"25626,1085,830,9,1,2,1,""1"",1,25,53,""1:30:02.112"",5402112,30,2,""1:37.491"",""215.724"",1"
"25627,1085,1,131,44,4,2,""2"",2,18,53,""+10.587"",5412699,30,4,""1:37.668"",""215.333"",1"
"25628,1085,847,131,63,6,3,""3"",3,15,53,""+16.495"",5418607,51,3,""1:37.548"",""215.598"",1"
"25629,1085,815,9,11,3,4,""4"",4,12,53,""+17.310"",5419422,45,5,""1:37.780"",""215.086"",1"
"25630,1085,832,6,55,19,5,""5"",5,11,53,""+28.872"",5430984,51,1,""1:35.781"",""219.575"",1"
"25631,1085,4,214,14,7,6,""6"",6,8,53,""+42.879"",5444991,53,8,""1:38.160"",""214.254"",1"
"25632,1085,846,1,4,5,7,""7"",7,6,53,""+52.026"",5454138,43,11,""1:39.037"",""212.356"",1"
"25633,1085,839,214,31,10,8,""8"",8,4,53,""+56.959"",5459071,53,9,""1:38.684"",""213.116"",1"
"25634,1085,817,1,3,9,9,""9"",9,2,53,""+1:00.372"",5462484,27,14,""1:39.133"",""212.151"",1"
"25635,1085,840,117,18,15,10,""10"",10,1,53,""+1:02.549"",5464661,52,15,""1:39.185"",""212.040"",1"
"25636,1085,20,117,5,12,11,""11"",11,0,53,""+1:04.494"",5466606,43,12,""1:39.044"",""212.341"",1"
"25637,1085,842,213,10,14,12,""12"",12,0,53,""+1:05.448"",5467560,53,10,""1:38.786"",""212.896"",1"
"25638,1085,848,3,23,13,13,""13"",13,0,53,""+1:08.565"",5470677,53,16,""1:39.199"",""212.010"",1"
"25639,1085,822,51,77,11,14,""14"",14,0,53,""+1:16.666"",5478778,52,6,""1:37.963"",""214.685"",1"
"25640,1085,854,210,47,17,15,""15"",15,0,53,""+1:20.394"",5482506,48,13,""1:39.068"",""212.290"",1"
"25641,1085,855,51,24,16,16,""16"",16,0,47,\N,\N,25,18,""1:39.368"",""211.649"",16"
"25642,1085,849,3,6,18,\N,""R"",17,0,40,\N,\N,40,19,""1:39.650"",""211.050"",130"
"25643,1085,825,210,20,20,\N,""R"",18,0,37,\N,\N,11,17,""1:39.265"",""211.869"",130"
"25644,1085,844,6,16,1,\N,""R"",19,0,17,\N,\N,4,7,""1:38.088"",""214.411"",3"
"25645,1085,852,213,22,8,\N,""R"",20,0,17,\N,\N,4,20,""1:40.216"",""209.858"",140"
